bytes,content_type,corpus_id,doi,downloaded,error,http_status,license,oa_status,path,pdf_signature,retrieved_at,retry_at,retry_bytes,retry_content_type,retry_error,retry_path,retry_pdf_signature,retry_sha256,sha256,title,url
0,,DCM-00080,https://doi.org/10.22541/au.170709047.77062509/v1,false,<HTTPError 403: 'Forbidden'>,,,gold,library/staging/master/DCM-00080-Impact-of-Politeness-and-Performance-Quality-of-Robots-on-Future-Interaction-Dec.pdf,false,2026-09-01T00:22:45.212387+00:00,2026-09-08T00:37:30.872230+00:00,,,<HTTPError 403: 'Forbidden'>,,false,,,Impact of Politeness and Performance Quality of Robots on Future Interaction Decisions: A Conversational Design Perspective,https://www.techrxiv.org/doi/pdf/10.22541/au.170709047.77062509
0,,DCM-00043,https://doi.org/10.1080/00048623.2009.10721416,false,<HTTPError 403: 'Forbidden'>,,,bronze,library/staging/master/DCM-00043-A-Conversational-Model-for-Qualitative-Research-A-Case-Study-of-Clergy-and-Relig.pdf,false,2026-09-01T00:22:45.005153+00:00,2026-09-08T00:37:30.799995+00:00,,,<HTTPError 403: 'Forbidden'>,,false,,,A Conversational Model for Qualitative Research: A Case Study of Clergy and Religious Knowledge,https://www.tandfonline.com/doi/pdf/10.1080/00048623.2009.10721416?needAccess=true&role=button
0,,DCM-00038,https://doi.org/10.21606/drs.2018.773,false,<HTTPError 403: 'Forbidden'>,,cc-by-nc,hybrid,library/staging/master/DCM-00038-Conversation-Design-Education-as-a-Catalyst-for-Change.pdf,false,2026-09-01T00:22:44.659920+00:00,2026-09-08T00:37:30.798995+00:00,,,<HTTPError 403: 'Forbidden'>,,false,,,Conversation: Design Education as a Catalyst for Change,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1773&context=drs-conference-papers
0,,DCM-00026,https://doi.org/10.1108/jkm-12-2022-0940,false,<HTTPError 403: 'Forbidden'>,,,bronze,library/staging/master/DCM-00026-The-challenging-meet-between-human-and-artificial-knowledge-A-systems-based-view.pdf,false,2026-09-01T00:22:44.652131+00:00,2026-09-08T00:37:30.798063+00:00,,,<HTTPError 403: 'Forbidden'>,,false,,,The challenging meet between human and artificial knowledge. A systems-based view of its influences on firms-customers interaction,https://www.emerald.com/insight/content/doi/10.1108/JKM-12-2022-0940/full/pdf?title=the-challenging-meet-between-human-and-artificial-knowledge-a-systems-based-view-of-its-influences-on-firms-customers-interaction
0,,DCM-00074,https://doi.org/10.1177/14780771251352930,false,<HTTPError 403: 'Forbidden'>,,,bronze,library/staging/master/DCM-00074-AI-enhanced-conversational-design-process-for-the-development-of-structural-AirW.pdf,false,2026-09-01T00:22:45.178568+00:00,2026-09-08T00:37:30.814700+00:00,,,<HTTPError 403: 'Forbidden'>,,false,,,AI-enhanced conversational design process for the development of structural AirWebs,https://journals.sagepub.com/doi/pdf/10.1177/14780771251352930?download=true
0,,DCM-00027,https://doi.org/10.1016/j.compedu.2014.11.010,false,<HTTPError 403: 'Forbidden'>,,,bronze,library/staging/master/DCM-00027-Exploring-teachers-use-of-TPACK-in-design-talk-The-collaborative-design-of-techn.pdf,false,2026-09-01T00:22:44.659920+00:00,2026-09-08T00:37:30.798063+00:00,,,<HTTPError 403: 'Forbidden'>,,false,,,Exploring teachers' use of TPACK in design talk: The collaborative design of technology-rich early literacy activities,https://www.sciencedirect.com/science/article/pii/S0360131514002577
0,,DCM-00016,https://doi.org/10.1108/k-03-2019-0186,false,<HTTPError 403: 'Forbidden'>,,,green,library/staging/master/DCM-00016-The-art-of-conversation-design-cybernetics-and-its-ethics.pdf,false,2026-09-01T00:22:44.652131+00:00,2026-09-08T00:37:30.796997+00:00,,,<HTTPError 403: 'Forbidden'>,,false,,,The art of conversation: design cybernetics and its ethics,https://philpapers.org/archive/WESTAO-16.pdf
0,,DCM-00054,https://doi.org/10.1145/321662.321677,false,<HTTPError 403: 'Forbidden'>,,,bronze,library/staging/master/DCM-00054-On-Network-Linguistics-and-the-Conversational-Design-of-Queueing-Networks.pdf,false,2026-09-01T00:22:45.071589+00:00,2026-09-08T00:37:30.799995+00:00,,,<HTTPError 403: 'Forbidden'>,,false,,,On Network Linguistics and the Conversational Design of Queueing Networks,https://dl.acm.org/doi/pdf/10.1145/321662.321677
0,,DCM-00095,https://doi.org/10.1080/00038628.2025.2586655,false,<HTTPError 403: 'Forbidden'>,,,bronze,library/staging/master/DCM-00095-Agentic-Multimodal-Large-Language-Model-LLM-with-behavioural-parameters-and-self.pdf,false,2026-09-01T00:22:47.033017+00:00,2026-09-08T00:37:31.024848+00:00,,,<HTTPError 403: 'Forbidden'>,,false,,,"Agentic, Multimodal Large Language Model (LLM) with behavioural parameters and self-iterative capabilities for conversational architectural design processes",https://www.tandfonline.com/doi/pdf/10.1080/00038628.2025.2586655?needAccess=true
0,,DCM-00129,https://doi.org/10.1145/3581641.3584037,false,<HTTPError 403: 'Forbidden'>,,,gold,library/staging/master/DCM-00129-The-Programmer-s-Assistant-Conversational-Interaction-with-a-Large-Language-Mode.pdf,false,2026-09-01T00:22:48.811286+00:00,2026-09-08T00:37:31.048528+00:00,,,<HTTPError 403: 'Forbidden'>,,false,,,The Programmer’s Assistant: Conversational Interaction with a Large Language Model for Software Development,https://dl.acm.org/doi/pdf/10.1145/3581641.3584037
