corpus_id,title,doi,url,license,oa_status,path,downloaded,pdf_signature,bytes,sha256,content_type,http_status,retrieved_at,error
DCM-00008,End-of-life care conversations with heart failure patients: a systematic literature review and narrative synthesis,https://doi.org/10.3399/bjgp11x549018,https://bjgp.org/content/bjgp/61/582/e49.full.pdf,,bronze,library/staging/master/DCM-00008-End-of-life-care-conversations-with-heart-failure-patients-a-systematic-literatu.pdf,true,true,269220,7ca2cde4a41deb89f1fc1eda85793e7ee6e75dbcb307cb84e594d2a4a4ef4274,application/pdf,200,2026-09-01T00:22:44.652131+00:00,
DCM-00011,Co-developing a Mental Health and Wellbeing Chatbot With and for Young People,https://doi.org/10.3389/fpsyt.2020.606041,https://www.frontiersin.org/articles/10.3389/fpsyt.2020.606041/pdf,cc-by,gold,library/staging/master/DCM-00011-Co-developing-a-Mental-Health-and-Wellbeing-Chatbot-With-and-for-Young-People.pdf,true,true,923758,cc8a117e98b2e43ad76196c811f06c5c207dc531ca33f750ded9ab8ab2295d86,application/pdf,200,2026-09-01T00:22:44.652131+00:00,
DCM-00016,The art of conversation: design cybernetics and its ethics,https://doi.org/10.1108/k-03-2019-0186,https://philpapers.org/archive/WESTAO-16.pdf,,green,library/staging/master/DCM-00016-The-art-of-conversation-design-cybernetics-and-its-ethics.pdf,false,false,0,,,,2026-09-01T00:22:44.652131+00:00,<HTTPError 403: 'Forbidden'>
DCM-00026,The challenging meet between human and artificial knowledge. A systems-based view of its influences on firms-customers interaction,https://doi.org/10.1108/jkm-12-2022-0940,https://www.emerald.com/insight/content/doi/10.1108/JKM-12-2022-0940/full/pdf?title=the-challenging-meet-between-human-and-artificial-knowledge-a-systems-based-view-of-its-influences-on-firms-customers-interaction,,bronze,library/staging/master/DCM-00026-The-challenging-meet-between-human-and-artificial-knowledge-A-systems-based-view.pdf,false,false,0,,,,2026-09-01T00:22:44.652131+00:00,<HTTPError 403: 'Forbidden'>
DCM-00027,Exploring teachers' use of TPACK in design talk: The collaborative design of technology-rich early literacy activities,https://doi.org/10.1016/j.compedu.2014.11.010,https://www.sciencedirect.com/science/article/pii/S0360131514002577,,bronze,library/staging/master/DCM-00027-Exploring-teachers-use-of-TPACK-in-design-talk-The-collaborative-design-of-techn.pdf,false,false,0,,,,2026-09-01T00:22:44.659920+00:00,<HTTPError 403: 'Forbidden'>
DCM-00038,Conversation: Design Education as a Catalyst for Change,https://doi.org/10.21606/drs.2018.773,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1773&context=drs-conference-papers,cc-by-nc,hybrid,library/staging/master/DCM-00038-Conversation-Design-Education-as-a-Catalyst-for-Change.pdf,false,false,0,,,,2026-09-01T00:22:44.659920+00:00,<HTTPError 403: 'Forbidden'>
DCM-00043,A Conversational Model for Qualitative Research: A Case Study of Clergy and Religious Knowledge,https://doi.org/10.1080/00048623.2009.10721416,https://www.tandfonline.com/doi/pdf/10.1080/00048623.2009.10721416?needAccess=true&role=button,,bronze,library/staging/master/DCM-00043-A-Conversational-Model-for-Qualitative-Research-A-Case-Study-of-Clergy-and-Relig.pdf,false,false,0,,,,2026-09-01T00:22:45.005153+00:00,<HTTPError 403: 'Forbidden'>
DCM-00054,On Network Linguistics and the Conversational Design of Queueing Networks,https://doi.org/10.1145/321662.321677,https://dl.acm.org/doi/pdf/10.1145/321662.321677,,bronze,library/staging/master/DCM-00054-On-Network-Linguistics-and-the-Conversational-Design-of-Queueing-Networks.pdf,false,false,0,,,,2026-09-01T00:22:45.071589+00:00,<HTTPError 403: 'Forbidden'>
DCM-00058,Voice bots on the frontline: Voice-based interfaces enhance flow-like consumer experiences & boost service outcomes,https://doi.org/10.1007/s11747-022-00868-5,https://link.springer.com/content/pdf/10.1007/s11747-022-00868-5.pdf,cc-by,hybrid,library/staging/master/DCM-00058-Voice-bots-on-the-frontline-Voice-based-interfaces-enhance-flow-like-consumer-ex.pdf,true,true,1171869,9c7e1a7390f75251e8d204300bb7905eb3eacf643c427b0e2f8bebb9fc53500d,application/pdf,200,2026-09-01T00:22:45.137148+00:00,
DCM-00074,AI-enhanced conversational design process for the development of structural AirWebs,https://doi.org/10.1177/14780771251352930,https://journals.sagepub.com/doi/pdf/10.1177/14780771251352930?download=true,,bronze,library/staging/master/DCM-00074-AI-enhanced-conversational-design-process-for-the-development-of-structural-AirW.pdf,false,false,0,,,,2026-09-01T00:22:45.178568+00:00,<HTTPError 403: 'Forbidden'>
DCM-00075,"Conversational, agentic AI-enhanced architectural design process: three approaches to multimodal AI-enhanced early-stage performative design exploration",https://doi.org/10.1007/s44223-025-00092-5,https://link.springer.com/content/pdf/10.1007/s44223-025-00092-5.pdf,cc-by,diamond,library/staging/master/DCM-00075-Conversational-agentic-AI-enhanced-architectural-design-process-three-approaches.pdf,true,true,5109237,169cc79ab32dc0539540b16529b4549a99f05ec74d7c3258a4200c17777ad838,application/pdf,200,2026-09-01T00:22:45.178568+00:00,
DCM-00080,Impact of Politeness and Performance Quality of Robots on Future Interaction Decisions: A Conversational Design Perspective,https://doi.org/10.22541/au.170709047.77062509/v1,https://www.techrxiv.org/doi/pdf/10.22541/au.170709047.77062509,,gold,library/staging/master/DCM-00080-Impact-of-Politeness-and-Performance-Quality-of-Robots-on-Future-Interaction-Dec.pdf,false,false,0,,,,2026-09-01T00:22:45.212387+00:00,<HTTPError 403: 'Forbidden'>
