corpus_id,title,doi,openalex_id,location_number,is_oa,landing_url,pdf_url,license,version,source_name,source_type
DCM-00001,Mentoring Conversations Designed to Promote Student Teacher Learning,10.1080/13598660120061309,https://openalex.org/W2042683403,1,false,https://doi.org/10.1080/13598660120061309,,,publishedVersion,Asia-Pacific Journal of Teacher Education,journal
DCM-00002,Handbook of Conversation Design for Instructional Applications,10.4018/978-1-59904-597-9,https://openalex.org/W2484805907,1,true,https://doi.org/10.4018/978-1-59904-597-9,,cc-by,publishedVersion,IGI Global eBooks,ebook platform
DCM-00002,Handbook of Conversation Design for Instructional Applications,10.4018/978-1-59904-597-9,https://openalex.org/W2484805907,2,false,http://services.igi-global.com/resolvedoi/resolve.aspx?doi=10.4018/978-1-59904-597-9,,,submittedVersion,,
DCM-00004,Conversation Design,10.1145/3290607.3298821,https://openalex.org/W2943249143,1,false,https://doi.org/10.1145/3290607.3298821,,,publishedVersion,,
DCM-00005,Introducing Conversation Design,10.4018/978-1-59904-597-9.ch001,https://openalex.org/W2485752924,1,false,https://doi.org/10.4018/978-1-59904-597-9.ch001,,,publishedVersion,IGI Global eBooks,ebook platform
DCM-00006,Mentoring Conversations Designed to Promote Student Teacher Learning,10.1080/13598660123812,https://openalex.org/W4230974914,1,false,https://doi.org/10.1080/13598660123812,,,publishedVersion,Asia-Pacific Journal of Teacher Education,journal
DCM-00007,Challenges in Chatbot Development,10.1145/3379597.3387472,https://openalex.org/W3091658513,1,false,https://doi.org/10.1145/3379597.3387472,,,publishedVersion,,
DCM-00010,Supporting an Iterative Conversation Design Process,10.1145/3334480.3382951,https://openalex.org/W3030491441,1,false,https://doi.org/10.1145/3334480.3382951,,,publishedVersion,,
DCM-00012,PERSPECTIVE—The Myth of Firm Performance,10.1287/orsc.1120.0762,https://openalex.org/W2101779674,1,false,https://doi.org/10.1287/orsc.1120.0762,,,publishedVersion,Organization Science,journal
DCM-00013,Physicians' Views on Advance Care Planning and End‐of‐Life Care Conversations,10.1111/jgs.15374,https://openalex.org/W2803502790,1,false,https://doi.org/10.1111/jgs.15374,,,publishedVersion,Journal of the American Geriatrics Society,journal
DCM-00013,Physicians' Views on Advance Care Planning and End‐of‐Life Care Conversations,10.1111/jgs.15374,https://openalex.org/W2803502790,2,false,https://pubmed.ncbi.nlm.nih.gov/29797314,,,publishedVersion,PubMed,repository
